,0,1,2,3,micro avg,macro avg,weighted avg,samples avg
precision,0.49242424242424243,0.496,0.8,0.7420965058236273,0.6907801418439716,0.6326301870619675,0.7022020807634324,0.621831797235023
recall,0.6467661691542289,0.5166666666666667,0.7148936170212766,0.8495238095238096,0.7401215805471124,0.6819625655914954,0.7401215805471124,0.6413210445468509
f1-score,0.5591397849462365,0.5061224489795919,0.755056179775281,0.7921847246891652,0.714600146735143,0.6531257845975686,0.7172455741701659,0.6097213078779898
support,201.0,120.0,470.0,525.0,1316.0,1316.0,1316.0,1316.0
